1500100001,施笑槐,22,女,文科六班
1500100002,吕金鹏,24,男,文科六班
1500100003,单乐蕊,22,女,理科六班
1500100004,葛德曜,24,男,理科三班
1500100005,宣谷芹,22,女,理科五班
1500100006,边昂雄,21,男,理科二班
1500100007,尚孤风,23,女,文科六班
1500100008,符半双,22,女,理科六班
1500100009,沈德昌,21,男,理科一班
1500100010,羿彦昌,23,男,理科六班
1500100011,宰运华,21,男,理科三班
1500100012,梁易槐,21,女,理科一班
1500100013,逯君昊,24,男,文科二班
1500100014,羿旭炎,23,男,理科五班
1500100015,宦怀绿,21,女,理科一班
1500100016,潘访烟,23,女,文科一班
1500100017,高芷天,21,女,理科五班
1500100018,骆怜雪,21,女,文科六班
1500100019,娄曦之,24,男,理科三班
1500100020,杭振凯,23,男,理科四班
1500100021,连鸿晖,22,男,理科六班
1500100022,薄运珧,23,男,文科四班
1500100023,东鸿畴,23,男,理科二班
1500100024,湛慕卉,22,女,文科二班
1500100025,翁飞昂,22,男,文科四班
1500100026,向鹏池,21,男,理科四班
1500100027,路辰锟,21,男,文科四班
1500100028,幸浩邈,24,男,理科五班
1500100029,滕旭炎,21,男,理科二班
1500100030,姚依丝,21,女,理科六班
1500100031,麻智刚,24,男,文科六班
1500100032,雍静枫,24,女,文科二班
1500100033,桑昆峰,24,男,理科三班
1500100034,薛鸿朗,24,男,理科五班
1500100035,包瀚玥,24,男,理科四班
1500100036,阮旭炎,22,男,文科二班
1500100037,顾向松,22,女,文科一班
1500100038,蓟振强,21,男,理科五班
1500100039,窦孤风,22,女,文科六班
1500100040,纪映之,24,女,文科四班
1500100041,傅景天,24,男,理科四班
1500100042,麻旭尧,24,男,文科四班
1500100043,晏昆鹏,24,男,理科六班
1500100044,田天风,24,女,文科二班
1500100045,仇运晟,21,男,理科一班
1500100046,靳香巧,22,女,理科五班
1500100047,秋旭尧,23,男,文科六班
1500100048,从子辰,21,男,理科六班
1500100049,籍涵煦,21,男,理科六班
1500100050,方小蕾,22,女,文科五班
1500100051,江寄容,24,女,文科五班
1500100052,居初兰,23,女,理科二班
