1500100001,施笑槐,文科六班,406
1500100002,吕金鹏,文科六班,440
1500100003,单乐蕊,理科六班,359
1500100004,葛德曜,理科三班,421
1500100005,宣谷芹,理科五班,395
1500100006,边昂雄,理科二班,314
1500100007,尚孤风,文科六班,418
1500100008,符半双,理科六班,363
1500100009,沈德昌,理科一班,251
1500100010,羿彦昌,理科六班,402
1500100011,宰运华,理科三班,282
1500100012,梁易槐,理科一班,459
1500100013,逯君昊,文科二班,369
1500100014,羿旭炎,理科五班,396
1500100015,宦怀绿,理科一班,309
1500100016,潘访烟,文科一班,359
1500100017,高芷天,理科五班,263
1500100018,骆怜雪,文科六班,425
1500100019,娄曦之,理科三班,433
1500100020,杭振凯,理科四班,295
1500100021,连鸿晖,理科六班,203
1500100022,薄运珧,文科四班,261
1500100023,东鸿畴,理科二班,297
1500100024,湛慕卉,文科二班,343
1500100025,翁飞昂,文科四班,246
1500100026,向鹏池,理科四班,349
1500100027,路辰锟,文科四班,390
1500100028,幸浩邈,理科五班,323
1500100029,滕旭炎,理科二班,405
1500100030,姚依丝,理科六班,369
1500100031,麻智刚,文科六班,209
1500100032,雍静枫,文科二班,184
1500100033,桑昆峰,理科三班,532
1500100034,薛鸿朗,理科五班,360
1500100035,包瀚玥,理科四班,457
1500100036,阮旭炎,文科二班,362
1500100037,顾向松,文科一班,355
1500100038,蓟振强,理科五班,381
1500100039,窦孤风,文科六班,503
1500100040,纪映之,文科四班,382
1500100041,傅景天,理科四班,468
1500100042,麻旭尧,文科四班,298
1500100043,晏昆鹏,理科六班,356
1500100044,田天风,文科二班,295
1500100045,仇运晟,理科一班,355
1500100046,靳香巧,理科五班,282
1500100047,秋旭尧,文科六班,247
1500100048,从子辰,理科六班,390
1500100049,籍涵煦,理科六班,287
1500100050,方小蕾,文科五班,342
1500100051,江寄容,文科五班,440
1500100052,居初兰,理科二班,424
1500100053,扈鸿朗,文科五班,442
1500100054,梅元容,理科二班,372
1500100055,卫鸿熙,文科一班,236
1500100056,古鸿信,理科二班,380
1500100057,经沛白,文科四班,431
1500100058,薄谷蕊,理科三班,464
1500100059,席昌燎,理科二班,506
1500100060,阮迎荷,文科四班,402
1500100061,路紫萱,文科四班,409
1500100062,空芷荷,文科二班,241
1500100063,申半双,文科四班,205
1500100064,汲辰沛,理科六班,428
1500100065,蓬昂雄,理科二班,270
1500100066,惠耘涛,文科三班,526
1500100067,广浦泽,文科五班,238
1500100068,宣南蓉,理科一班,385
1500100069,束采波,文科一班,301
1500100070,濮佑运,理科一班,442
1500100071,祖昌勋,理科四班,383
1500100072,段怀梦,理科二班,382
1500100073,滕旭炎,文科二班,478
1500100074,史鹏煊,理科六班,308
1500100075,谭春蕾,文科二班,437
1500100076,竺乐蓉,理科五班,435
1500100077,钮元蝶,理科三班,346
1500100078,干安珊,理科四班,280
1500100079,曾辰宇,文科六班,341
1500100080,巫景彰,理科五班,628
1500100081,嵇平安,理科三班,279
1500100082,凌思菱,文科一班,283
1500100083,雍惜玉,文科二班,426
1500100084,应景平,理科三班,305
1500100085,彭旭东,文科二班,317
1500100086,祖昆锐,理科一班,288
1500100087,童鸿禧,理科五班,363
1500100088,田德明,文科三班,403
1500100089,蒙依丝,文科五班,472
1500100090,富寄风,文科五班,315
1500100091,蔺水风,文科一班,328
1500100092,竺惜玉,理科四班,348
1500100093,裴依秋,文科二班,528
1500100094,韩醉柳,文科一班,404
1500100095,尹宛秋,文科三班,336
1500100096,沈曜瑞,理科三班,326
1500100097,叶德昌,文科二班,429
1500100098,卞俊晖,理科一班,424
1500100099,成曜文,文科五班,377
1500100100,宁昊磊,文科六班,432
1500100101,计又琴,文科一班,227
1500100102,洪天风,文科五班,397
1500100103,宣昆皓,理科五班,537
1500100104,咸冰蝶,理科二班,533
1500100105,寿白亦,文科五班,252
1500100106,仲怀莲,文科四班,392
1500100107,能昆明,理科五班,458
1500100108,伏易云,理科五班,429
1500100109,从振强,文科三班,348
1500100110,牛晨朗,文科六班,357
1500100111,邴惜芹,理科三班,477
1500100112,祖昆琦,理科三班,359
1500100113,羿思真,理科三班,519
1500100114,钮笑柳,理科四班,402
1500100115,益耘豪,理科四班,364
1500100116,文元蝶,文科四班,520
1500100117,隗寄南,理科四班,331
1500100118,蔺昆宇,文科一班,509
1500100119,臧云天,文科四班,508
1500100120,桓浩邈,文科三班,437
1500100121,张雪卉,文科一班,383
1500100122,乔书雁,理科四班,330
1500100123,厍寄琴,理科四班,451
1500100124,冯绿蝶,理科四班,431
1500100125,蒙涵衍,文科一班,385
1500100126,侯昌燎,理科六班,403
1500100127,罗芷卉,文科二班,176
1500100128,巫鸿哲,文科一班,549
1500100129,容寄南,文科三班,418
1500100130,宁怀莲,理科四班,299
1500100131,胡昊明,文科六班,452
1500100132,曾安寒,文科五班,308
1500100133,钱向山,理科二班,332
1500100134,计宣朗,理科四班,279
1500100135,庾振海,理科四班,252
1500100136,黎昆鹏,文科六班,583
1500100137,宣向山,理科四班,403
1500100138,栾鸿信,文科二班,203
1500100139,左代萱,文科三班,375
1500100140,郁运发,文科六班,459
1500100141,谢昌勋,理科六班,336
1500100142,闵华晖,文科一班,461
1500100143,匡德明,文科五班,340
1500100144,通冰夏,文科六班,294
1500100145,殴飞昂,理科五班,357
1500100146,于向南,理科三班,385
1500100147,翁鸿晖,理科四班,283
1500100148,蒋震博,文科六班,500
1500100149,仇辰锟,理科一班,313
1500100150,牧星睿,文科四班,422
1500100151,诸碧萱,理科六班,275
1500100152,衡从安,文科五班,321
1500100153,孔涵蕾,文科四班,187
1500100154,容昊然,文科五班,328
1500100155,广高旻,文科四班,501
1500100156,姚星爵,理科五班,287
1500100157,孙映冬,理科一班,289
1500100158,葛惜梦,理科三班,418
1500100159,寇鸿朗,文科四班,445
1500100160,云冰真,文科三班,568
1500100161,蒋谷梦,理科五班,296
1500100162,林昆卉,文科四班,413
1500100163,胥凡白,理科五班,291
1500100164,封昂杰,理科六班,364
1500100165,姜昆皓,文科一班,412
1500100166,车怀曼,文科四班,356
1500100167,裘昌淼,理科六班,401
1500100168,巫辰皓,理科六班,231
1500100169,印维运,理科六班,475
1500100170,夏鸿畅,文科四班,387
1500100171,乜鸿福,理科一班,323
1500100172,施昊东,理科三班,412
1500100173,连采波,文科六班,389
1500100174,茅香薇,理科六班,288
1500100175,邰凡灵,理科一班,452
1500100176,施元容,文科六班,234
1500100177,樊若翠,文科五班,273
1500100178,杜芷天,文科一班,388
1500100179,阮惜珊,理科四班,457
1500100180,古金鹏,理科一班,445
1500100181,巩怀莲,理科四班,165
1500100182,仲秋巧,文科五班,218
1500100183,卫若枫,理科六班,430
1500100184,夔寻巧,理科三班,580
1500100185,杭梦蕊,理科三班,365
1500100186,昌元冬,文科五班,496
1500100187,武静珊,理科六班,313
1500100188,霍元冬,理科五班,446
1500100189,曾觅云,理科二班,328
1500100190,韩运升,理科四班,292
1500100191,益惜蕊,理科四班,395
1500100192,暨君昊,文科二班,483
1500100193,景寄文,文科四班,365
1500100194,滕代萱,理科四班,231
1500100195,凌昆锐,文科六班,312
1500100196,汤浩博,文科三班,446
1500100197,郦元容,理科三班,308
